stage	tokens	pair	position	arm	p100_exact	runner_mode	tag
dumps	512	1	1	off	0	diagonal-bench-dump	p100exact-stitchrail-final-prefill-v2-dumps-c512-p1-off
dumps	512	1	2	on	1	diagonal-bench-dump	p100exact-stitchrail-final-prefill-v2-dumps-c512-p1-on
logits	512	1	1	off	0	diagonal-ppl-save	p100exact-stitchrail-final-prefill-v2-logits-c512-p1-off
logits	512	1	2	on	1	diagonal-ppl-save	p100exact-stitchrail-final-prefill-v2-logits-c512-p1-on
performance	2048	1	1	off	0	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p1-off
performance	2048	1	2	on	1	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p1-on
performance	2048	2	1	on	1	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p2-on
performance	2048	2	2	off	0	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p2-off
performance	2048	3	1	on	1	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p3-on
performance	2048	3	2	off	0	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p3-off
performance	2048	4	1	on	1	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p4-on
performance	2048	4	2	off	0	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p4-off
performance	2048	5	1	on	1	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p5-on
performance	2048	5	2	off	0	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c2048-p5-off
performance	8128	1	1	on	1	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c8128-p1-on
performance	8128	1	2	off	0	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c8128-p1-off
performance	8128	2	1	off	0	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c8128-p2-off
performance	8128	2	2	on	1	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c8128-p2-on
performance	8128	3	1	off	0	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c8128-p3-off
performance	8128	3	2	on	1	diagonal-bench	p100exact-stitchrail-final-prefill-v2-performance-c8128-p3-on
